id,attention,progress-belief,mechanism_open-ended,charity-choice - Selected Choice,charity-choice - None of these (please enter a charity of your choice) - Text,donation-amount,donation-binary,humanprogress1,humanprogress2,humanprogress3,humanprogress4,inevitableprogress1,inevitableprogress2,inevitableprogress3,inevitableprogress4,humanprogress.mean,inevitableprogress.mean,donation-openended,gender - Selected Choice,gender - Prefer to self-identify: - Text,politics - Selected Choice,politics - Other - Text,age,religion,country,"Are you of Spanish, Hispanic, or Latino origin?",What is your race? Select all that apply. - Selected Choice,l-human-action,c-human-action,l-inevitable,c-inevitable,l-action-as-cause,c-action-as-cause,l-belief-as-cause,c-belief-as-cause,l-self-reference,c-self-reference
55,instructions,No,Moral progress can occur when people are educated about the less fortunate and learn how to treat them with kindness.,A Bond of Love Adoption Agency Inc.,,0,0,7,6,5,7,1,2,2,4,6.25,2.25,"I wasn't sure if I would actually have to pay it. I took this survey to make some extra money, not to be manipulated into giving money to another organization.",Woman,,Moderate,,40,Episcopalian,United States of America,No,White,1,1,0,1,1,1,1,1,0,0
19,instructions,Not sure,"I think moral progress can occur with an increase in education and nurturing thoughts and feelings of common humanity. However, I also think that human morals can regress in certain circumstances. In other words, I don't think it's a given that morals will progress over time. ",Nonviolent Peaceforce (peace efforts),,5,1,5,7,7,6,1,3,1,4,6.25,2.25,I don't have a good reason,Man,,Liberal,,32,Agnosticism,United States of America,No,White,1,1,0,0,1,0,0,0,0,0
154,instructions,No,Can it occur? The world is watching while one nation commits genocide on another. The only thing the world cares about is more money. And it'll come at the expense of the planet. ,Palestine Children’s Relief Fund,,20,1,5,3,6,5,2,4,2,2,4.75,2.5,"It the grand scheme of life, i can afford that much",Man,,Liberal,,43,Atheism,United States of America,No,White,1,0,0,0,1,0,0,0,0,0
196,instructions,Yes,It can occur due to broad societal trends. It can occur due to people following the moral teachings of a charismatic leader. It can occur due to a small group of protesters making a compelling case for new moral understandings.,Hope for Ukraine Inc.,,10,1,6,6,6,6,2,4,2,2,6,2.5,"It seemed like a good amount. I don't know, it was a snap decision to be honest.",Man,,Moderate,,38,Methodist,United States of America,No,White,0,0,1,1,0,0,0,0,0,0
170,instructions,No,"compassion  is one way , but morals are a cultural  construct and cultures across the world have different values .. the south usa was forced to give up slavery so perhaps force is one thing driving cultures to change",Palestine Children’s Relief Fund,,0,0,3,5,5,5,2,4,2,2,4.5,2.5,i give to charity locally ..,Man,,Moderate,,53,Atheism,United States of America,No,White,1,1,0,0,1,1,0,0,0,0
147,instructions,Yes,It can occur by people sharing their stories with media.  This causes empathy for suffering and unfairness and prompt people to vote for policies that are more fair. ,Palestine Children’s Relief Fund,,2,1,6,7,5,5,2,5,1,2,5.75,2.5,I need money so I kept most of it but I feel like giving 10 percent is good.  ,Woman,,Liberal,,56,Atheism,United States of America,No,White,1,1,0,0,1,0,0,1,0,0
54,instructions,No,"Moral progress can occur when there is societal pressure to conform and act in a certain way. Also, as more research is done on the long term affects of certain actions, it sways the majority to not act in the same ways they did before they understood the dangers and long term consequences of their actions on themselves and others. ",A Bond of Love Adoption Agency Inc.,,5,1,5,6,5,5,3,3,2,2,5.25,2.5,I thought a 25% donation was more then generous. ,Woman,,Conservative,,41,Non-denominational Christianity,United States of America,No,White,1,1,0,0,1,1,0,0,0,0
90,instructions,Yes,"We can treat all the people equally in all areas of life across the entire globe, regardless of their gender, age, ancestry, abilities, or any other differentiating factors. It will likely be a slow evolution with probable bursts of local revolutions (e.g., women getting voting rights in the less developed parts of the world).",Any Woman Can LLC (women's rights),,5,1,7,7,7,6,1,6,1,2,6.75,2.5,"It felt like a right proportion of the overall number - not too much, but enough to possibly make a difference.",Woman,,Conservative,,59,Agnosticism,United States of America,No,White,1,1,0,0,1,1,0,0,0,0
299,instructions,Not sure,"Moral progress tends to change as the needs of human beings change. We have been led by patriarchal, and hierarchical systems like religion for thousands of years. These tended to dominate how we made decisions. But also necessitated very limited behaviors as a means for survival. I find it interesting so far as technology insulates us from the past of our ancestors, our morality can mutate to become something completely new. But as soon as that artificial insulation breaks down, and we are given to the wild, we revert again. There seem to be universal truths for organisms at a fundamental level. Our culture, and civilization are obfuscations of that. Morality is an abstraction to grounded cognition. It's progression is never finite. It can be iterated upon so long as the intellectual fiber that it rests on is still in tact. These are trying times, and we are about to see that morality really put to the test in the next 30 years. ",Palestine Children’s Relief Fund,,20,1,7,4,7,7,4,4,1,1,6.25,2.5,Why choose a lesser amount when you can choose a higher amount?,Man,,Other,Moderate left leaning,31,Atheism,United States of America,No,White,1,1,0,0,1,1,0,0,0,0
164,instructions,No,"I don't think that moral progress has occurred. Just in my lifetime, moral degeneracy has increased and people are way less moral and ethical as a whole. People need to get back to the commandments of God.",None of these (please enter a charity of your choice),,0,0,7,5,1,7,1,2,1,7,5,2.75,i don't support an of those charities. I chose $0,Woman,,Very conservative,,51,Catholicism,United States of America,No,White,1,0,1,1,1,1,0,1,0,0
272,instructions,No,"I think one of the main ways moral progress can occur is by experiences the effects of immorality. When things happen that seem immoral, like certain wars as an example, we learn that we don't want it to happen again, so we do what we can to make sure that doesn't happen. ",Hope for Ukraine Inc.,,5,1,6,7,5,6,2,4,4,1,6,2.75,"I'm really not sure. It seemed like an amount I can afford, even though I struggle paycheck to paycheck. I felt pressured to donate more, but I picked an amount that felt acceptable.",Man,,Very liberal,,42,Non-denominational Christianity,United States of America,No,White,0,0,0,0,0,0,0,0,0,0
49,instructions,No,"I think moral progress can occur when people gather more information about a moral issue, especially when they initially did not understand the morality issues involved.",Any Woman Can LLC (women's rights),,10,1,6,6,6,6,3,4,2,2,6,2.75,"I care about Women's Rights so I like to chip in some, but there are other charities that I choose to donate larger amounts to.",Woman,,Liberal,,42,Agnosticism,United States of America,No,"White,Asian",1,0,0,0,1,0,0,0,0,0
43,instructions,Not sure,Moral progress can occur when the majority of the population focuses on doing the right thing and loving our fellow men as we love ourselves.,A Bond of Love Adoption Agency Inc.,,10,1,6,6,3,6,2,4,2,3,5.25,2.75,"It seems like it is an agency that would align with my beliefs, but I don't specifically know of that agency.  If it were a similar organization I currently support, I would give the entire $20.00.",Woman,,Conservative,,65,Non-denominational Christianity,United States of America,No,White,1,1,0,0,1,1,0,0,0,0
227,instructions,No,"Moral progress has occurred by the law and courts , in that everyone is innocent until proven guilty. And not taken out and immediately hanged before they are found guilty or innocent.",IsraAid US Inc. (aid for Israel),,20,1,7,4,3,4,2,2,2,5,4.5,2.75,Because Isarel is the holy land and God gave the land to the Jewish people and they are being attacked unfairly.,Man,,Very conservative,,40,Pentecostalism,United States of America,No,White,1,1,0,0,1,1,0,1,0,0
87,instructions,No,Moral progress can occur by more people performing moral tasks.,Nonviolent Peaceforce (peace efforts),,0,0,6,6,5,6,2,4,3,3,5.75,3,Because I would opt to keep the $20 to help me get into a better situation to provide to charities more often in the future.,Man,,Moderate,,26,Catholicism,United States of America,No,White,1,0,0,0,1,0,1,0,0,0
26,instructions,No,"I believe moral progress is more of a personal thing. Society is made up of individuals, so the morality of society cannot progress unless the individuals within that society also progress. Unfortunately, wars and selfish crimes are still occurring today as it did hundreds of years ago. ",None of these (please enter a charity of your choice),American Red Cross,0,0,7,5,3,7,2,3,3,4,5.5,3,"It is a reasonable amount that I would likely have in my purse if I was to see a donation receptacle in a store, or likely how much I could afford spur of the moment at a check-out terminal.",Woman,,Moderate,,55,Non-denominational Christianity,United States of America,No,White,0,0,1,1,0,0,0,0,0,0
91,instructions,Not sure,"I think moral progress can occur when people strive to engage in objectively moral actions and lifestyles. I tend to believe such lifestyles can be outline in both religious texts and through the understanding of our God-given consciences. Moral progress can also occur through the decision to allow individual freedoms, WITHOUT allowing for individual degeneracy to be widely pushed on people and promoted on the general population and society at large.",A Bond of Love Adoption Agency Inc.,,0,0,7,5,4,6,2,3,2,5,5.5,3,I do not want to donate my earnings.,Man,,Moderate,,31,Non-denominational Christianity,United States of America,Yes,White,1,1,0,0,1,1,0,0,0,0
75,instructions,Yes,"I think in modern society, we have done a better job of taking care of each other, with programs for the more vulnerable in society, like the disabled, impoverished, and children, who would not have survived or thrived in previous times.  So that is my first thought - moral progress can be seen in how we treat those most vulnerable.",Any Woman Can LLC (women's rights),,5,1,7,7,7,7,2,6,2,2,7,3,"I am between jobs right now, and believe highly in supporting womens' rights, but can't financially support much right now.",Woman,,Liberal,,56,Methodist,United States of America,No,White,1,1,0,0,1,1,0,1,0,0
89,‘instructions’,Not sure,"I think that moral progress HAS risen over the last few hundred years, however, I’m not sure that we are not on a downward trajectory at the present time.",None of these (please enter a charity of your choice),St. Judes,20,1,6,5,2,6,2,4,2,4,4.75,3,I believe in the work that St. Judes does…I contribute to them monthly.,Woman,,Moderate,,64,Non-denominational Christianity,United States of America,No,White,1,1,0,0,1,0,0,1,0,0
92,instructions,Yes,I think moral progress has occured because people have started to view other people has more similar to themselves. People are more likely to want to help and be kind to people similar to themselves.,Abortion Care Network,,20,1,5,6,5,5,2,6,2,2,5.25,3,I wanted to donate the highest amount,Woman,,Liberal,,39,Atheism,United States of America,No,White,1,1,0,0,1,1,0,0,0,0
241,instructions,Yes,"I believe that humans have an innate sense of morality, and that issues around this topic arise from the structure of civilization not being aligned with the psychological environment humans have evolved to live in. Throughout the history of civilization, moral progress seems to have initially been made through the tools of organized religion, but with that falling out of favor recently, we have been relying more on agreed upon social rules and laws. A lot of this seems to come from the top down, although, I don't know if any moral framework is necessary, because again, I believe humans have an innate sense of right and wrong.",Palestine Children’s Relief Fund,,20,1,7,3,3,6,3,4,3,2,4.75,3,The situation in Palestine is critical. I would give everything if I could.,Man,,Very liberal,,27,Atheism,United States of America,No,White,1,1,0,0,1,1,1,1,0,0
295,instructions,Not sure,"When people recognize the importance or each individual life, they start to address the problems that are occurring.  However, I do not believe that we need to honor the individual whims of each person.",A Bond of Love Adoption Agency Inc.,,20,1,7,5,7,6,3,3,2,4,6.25,3,I think it's appropriate,Woman,,Very conservative,,45,Lutheran,United States of America,No,White,0,1,0,0,0,0,1,1,0,0
209,instructions,Yes,"Moral progress can occur as our knowledge expands.  Technology has played a big role, because it has caused more transparency.  Wrongs are not so easy to cover up anymore, so that information coming to light has been helpful in showing us what is actually going on in the world and what is right. ",Palestine Children’s Relief Fund,,20,1,6,5,6,6,2,5,2,3,5.75,3,"They are highly in need now, and $20 is the price of a lunch for me. ",Woman,,Very liberal,,28,Agnosticism,United States of America,Yes,White,1,1,1,1,1,1,1,1,0,0
7,instructions,No,Moral progress can occur is billionaires go away.,Abortion Care Network,,0,0,6,7,5,3,4,4,4,1,5.25,3.25,Because I cannot afford it.,Man,,Liberal,,38,Atheism,United States of America,No,White,0,0,0,0,0,0,1,0,0,0
217,instructions,Not sure,Moral progress mostly occurs over time spreading an idea that something is wrong. They then spread that idea further to other people until the law has to change.,None of these (please enter a charity of your choice),Red cross,0,0,5,4,4,5,2,4,3,4,4.5,3.25,Because I need the money more,Man,,Conservative,,30,Atheism,United States of America,No,White,1,0,0,1,1,1,1,1,0,0
39,instructions,No,"Sheesh, that's tough. Honestly I feel we are no more or less moral since the beginning. I guess new laws could be conceived of as moderating what it is we view as right or wrong. But that does not change our morality (just how we judge others)",Abortion Care Network,,0,0,4,5,3,3,3,4,3,3,3.75,3.25,no idea,Man,,Liberal,,47,Atheism,United States of America,No,White,0,0,0,0,0,0,0,0,0,0
180,instructions,Not sure,"I believe, to some extent but not fully, people have learned that war is cruel and more harmful than beneficial. After witnessing needless killing and suffering over many wars over the centuries, humankind is slowly learning it is wasteful to engage in such behavior. However, to some extent, wars do still occur so we need to make more progress. Also, we do a better job now than previously for supporting those in need I think. Again, there is still room for improvement, but I think we as a society are better able to assist others now and can provide compassion.",Hope for Ukraine Inc.,,10,1,6,6,5,6,2,5,3,3,5.75,3.25,"I strongly believe Ukraine must prevail in its battle for survival against Russia. I thought 50% of the possible donation amount was significant, although now I wonder if I should have chosen to give the full $20.",Man,,Liberal,,45,Agnosticism,United States of America,No,White,0,0,1,0,0,0,0,0,0,0
204,instructions,No,"We need to learn from our history and grow. We have progressed in some ways, but in others we completely repeat history and fail to learn.",Abortion Care Network,,20,1,6,6,6,5,3,3,4,3,5.75,3.25,20,Woman,,Liberal,,31,Agnosticism,United States of America,No,White,0,0,0,0,0,0,0,0,0,0
189,instructions,No,"Moral progress can occur when something that is heinous and intrusive and destructively affects another individual or community or people-- and is then transformed into something that empowers and unites things in harmony. I believe that is the building blocks, the infrastructure of how moral progress can succeed and flourish.",Genders & Sexualities Alliance Network,,1,0,0,4,4,4,2,4,4,3,4.25,3.25,I didn't spend too long thinking about it. I don't donate without doing my due diligence though the name of their cause allowed me to give some what of a benefit of the doubt.,Man,,Liberal,,32,Agnosticism,United States of America,No,American Indian/Native American or Alaska Native,1,0,1,1,1,0,0,1,0,0
5,instructions,Not sure,"when people have science, they can look to the facts to see that people of different skin tones are not beneath them. With economic data, they can see that blacks do not bring down the value of real estate. Moral progress can occur when people are presented with, and believe, facts.",Hope for Ukraine Inc.,,0,0,5,6,5,6,3,4,4,2,5.5,3.25,I dont have money to donate at this time,Woman,,Liberal,,64,Other,United States of America,No,White,1,1,0,0,1,0,0,0,0,0
29,instructions,No,Moral progress happens when societies get better at treating each other with fairness and respect. It's like upgrading our collective sense of right and wrong over time. Think about how we've stopped things like slavery and fought for equal rights to make the world a fairer place.,None of these (please enter a charity of your choice),endpovertyusa.org,0,0,5,6,2,2,2,5,3,3,3.75,3.25,You really asking that to a guy doing surveys online in his free time before work at 7am because he needs extra income to pay bills? why do you think i didn't give anything to charity...,Man,,Liberal,,41,Catholicism,United States of America,Yes,White,1,1,0,0,1,1,0,0,0,0
69,instructions,No,Progress can only occur by surrendering our selfishness and getting back to following Jesus,None of these (please enter a charity of your choice),,0,0,6,5,3,6,2,2,3,6,5,3.25,i didn't see any places that I would donate to,Woman,,Conservative,,43,Non-denominational Christianity,United States of America,No,White,1,1,0,0,1,0,0,0,0,0
62,instructions,Yes,It can occur when over time a critical mass of people agree that we need to take a step forward in righteousness as a people,IsraAid US Inc. (aid for Israel),,5,1,7,7,6,6,1,7,2,3,6.5,3.25,It seemed like a fair amount to be provided.,Man,,Liberal,,30,Judaism,United States of America,No,White,0,1,0,0,0,1,1,1,0,0
274,instructions,Not sure,"Moral Progress can occur when societies treat everyone equally regardless of race or gender or sexuality.  If people treat each other equally, a lot of moral progress can be made.  This can also set examples for future generations on how morality should be implemented within society.",Genders & Sexualities Alliance Network,,5,1,7,7,6,6,2,5,3,3,6.5,3.25,I selected it as that seems to be a reasonable amount to share with this cause.,Man,,Liberal,,57,Presbyterianism,United States of America,No,White,1,1,0,0,1,0,0,0,0,0
161,instructions,Yes,Moral progress can occur when people have the opportunities to travel and meet with people from different cultures. It can also occur with educational opportunities. ,Abortion Care Network,,10,1,6,7,6,6,2,6,2,3,6.25,3.25,"I wish I could donate more, but finances are tight.",Woman,,Liberal,,32,Judaism,United States of America,No,White,1,1,0,0,1,1,1,0,0,0
216,instructions,Yes,"by changing laws that might be slightly contrary to popular opinion. this can force change to occur and gradually change public perception of issues (things like gay marriage, etc.)",Abortion Care Network,,10,1,3,6,7,5,3,5,4,1,5.25,3.25,it seemed like a good middle ground,Woman,,Liberal,,46,Agnosticism,United States of America,No,White,0,1,0,0,0,0,1,1,0,0
118,instructions,No,The lack of apathy is increasing. The concern for other people is decreasing. People are becoming increasingly self-centered.,None of these (please enter a charity of your choice),Salvation Army,20,1,7,5,4,7,4,2,4,3,5.75,3.25,$20 ,Man,,Moderate,,71,Catholicism,United States of America,No,White,0,1,0,0,0,0,0,0,0,0
243,instructions,Yes,"Moral progress can occur when people are educated and exposed to the ideas and experiences of others, in order to recognize the dignity and value of other humans is the same as their own. This shared recognition and the concurrent recognition of injustice against others drives advocacy for change in legal and cultural contexts, allowing for greater protections and moral sophistication than before. ",Abortion Care Network,,20,1,6,7,7,6,3,4,2,4,6.5,3.25,"If the study preparer is capable of donating $20 on my behalf, I may as well request the highest donation I can",Man,,Liberal,,30,Atheism,United States of America,No,White,1,1,0,0,1,0,0,1,0,0
38,instructions,Yes,Moral progress can occur as research happens - more information can make it clear that something is immoral.  It can occur with the help of one brave person or group that makes the rest of the community aware of a moral failing.  It can occur through mistakes happening and the community learning from them.,Abortion Care Network,,0,0,6,6,5,6,5,3,3,3,5.75,3.5,It is not my preferred charity.,Woman,,Liberal,,37,Catholicism,United States of America,No,White,0,0,0,0,0,0,0,1,0,0
56,instructions,Yes,"Moral progress can occur when groups of people come together and decide to not allow a specific thing they find morally wrong anymore. They must come together, raise awareness about it, and demand action for it to not continue. ",Palestine Children’s Relief Fund,,0,0,5,5,5,5,3,5,3,3,5,3.5,I do not have a charity which I particularly believe in,Man,,Very conservative,,31,Agnosticism,United States of America,No,White,0,0,0,0,0,0,0,1,0,0
11,instructions,Not sure,People think of others and not just themselves,A Bond of Love Adoption Agency Inc.,,0,0,6,5,4,6,3,4,4,3,5.25,3.5,I am unemployed and do not typically donate when I am in this situation.,Woman,,Conservative,,55,Catholicism,United States of America,No,White,0,0,1,1,0,0,1,1,0,0
79,instructions,Yes,Moral progress will continue to occur through time by listening to the voices of the people. This will allow people who aren't given the same ethical considerations currently to eventually attain them. Our public figures need to enact popular policies in order to stay elected.,IsraAid US Inc. (aid for Israel),,5,0,0,6,7,6,2,7,2,3,6.25,3.5,"I am not currently in a financial position to be donating much money at all, however a small donation can go a long way when many people do so.",Man,,Very liberal,,23,Atheism,United States of America,Yes,"White,Other",0,0,0,0,0,0,0,0,0,0
233,instructions,Yes,Moral progress an occur from people looking back at the past and not making the same mistakes.,Palestine Children’s Relief Fund,,5,0,0,6,5,6,3,4,3,4,5.75,3.5,because i am broke and thats the max i can afford,Man,,Moderate,,37,Buddhism,United States of America,No,Asian,0,0,1,0,0,1,0,1,0,0
71,instructions,Yes,Race reltions is a big one and it seems the life is valued more.,Palestine Children’s Relief Fund,,2,0,0,5,5,6,3,5,3,3,5.25,3.5,I really don't have a lot of money currently.,Man,,Liberal,,58,Agnosticism,United States of America,No,White,0,0,1,1,0,0,0,0,0,0
296,instructions,Yes,"Moral progress has occurred because society has created a more level playing field for all races and genders. Women have been given the rights to vote, and earn high paying jobs and are not always expected to stay at home and care for the home and children. Another example of moral progress is society identifying issues surrounding systemic racism towards black citizens, through jobs and mortgages.",Any Woman Can LLC (women's rights),,5,0,0,7,6,5,3,5,3,3,5.75,3.5,Since it is a small dollar amount that I can afford to give at any given time.,Man,,Liberal,,31,Catholicism,United States of America,No,White,0,0,1,1,0,0,0,0,0,0
126,instructions,Yes,"We can learn to treat each other better. The basis of morality, in my opinion, is to look out for others and never intentionally hurt others. I believe we can progress morally this way.",Palestine Children’s Relief Fund,,10,0,0,5,5,4,3,4,4,3,5,3.5,Because that is more inline with what I can afford to give,Man,,Liberal,,37,Agnosticism,United States of America,No,White,0,0,1,1,0,0,0,1,0,0
